feature_1,feature_2,feature_3,feature_4,feature_5
1.0,1.0,1.0,0.029752493,1.0
1.0,1.0,-1.0,1.0,0.0
1.0,1.0,1.0,1.0,1.0
1.0,-1.0,0.32646367,1.0,1.0
1.0,-0.5310003,-1.0,1.0,0.0
1.0,1.0,1.0,1.0,0.0
-1.0,0.92567533,-1.0,-1.0,0.0
1.0,-1.0,-1.0,0.08918226,0.0
-1.0,1.0,1.0,1.0,0.0
-1.0,-1.0,-1.0,1.0,0.0
1.0,-0.14101796,-0.16710599,1.0,0.0
-0.6290634,1.0,1.0,1.0,0.0
-1.0,-0.10743162,1.0,0.70876735,0.0
-1.0,-1.0,-1.0,-1.0,0.0
-1.0,0.8237578,-0.56954455,1.0,0.0
-1.0,1.0,1.0,1.0,0.0
-1.0,1.0,-1.0,-1.0,0.0
-1.0,-1.0,-1.0,1.0,0.0
-1.0,-0.24980766,0.20627037,1.0,0.0
-1.0,-1.0,-1.0,-1.0,0.0
-1.0,-0.31090844,-1.0,1.0,0.0
-1.0,0.627118,-0.8152898,-0.97198415,0.0
0.4987599,1.0,-1.0,1.0,0.0
-1.0,-1.0,1.0,1.0,0.0
1.0,-1.0,0.8957218,-0.11688161,0.0
-1.0,-1.0,1.0,0.4914446,0.0
-0.6296823,1.0,-1.0,0.9449159,0.0
-0.17640989,1.0,1.0,1.0,0.0
-1.0,1.0,-1.0,1.0,0.0
-1.0,-0.025746316,-1.0,1.0,0.0
1.0,1.0,1.0,1.0,0.0
1.0,-0.6034961,0.6185422,1.0,1.0
1.0,-0.16485709,0.8743913,0.22999394,0.0
-1.0,1.0,1.0,0.82421494,0.0
-0.57050776,1.0,1.0,1.0,0.0
1.0,1.0,-0.13523898,1.0,0.0
1.0,1.0,-1.0,1.0,0.0
-1.0,1.0,-1.0,1.0,1.0
-1.0,-1.0,-1.0,-1.0,1.0
1.0,-1.0,1.0,1.0,0.0
-1.0,-1.0,-1.0,1.0,0.0
1.0,-1.0,1.0,1.0,0.0
0.010274768,0.015563607,1.0,1.0,0.0
-0.09677431,-0.32980734,-0.65317845,-1.0,0.0
-1.0,1.0,1.0,1.0,0.0
-1.0,-1.0,1.0,1.0,1.0
-1.0,0.58555335,-1.0,1.0,0.0
1.0,1.0,1.0,1.0,0.0
1.0,-1.0,-1.0,1.0,0.0
1.0,-1.0,-0.70515025,1.0,0.0
-1.0,-1.0,-1.0,1.0,0.0
-1.0,-1.0,-1.0,-0.36018443,0.0
-1.0,-1.0,-1.0,1.0,1.0
-1.0,1.0,-1.0,1.0,0.0
-1.0,-0.12235379,-1.0,1.0,0.0
-1.0,0.61215365,1.0,1.0,0.0
-1.0,1.0,1.0,1.0,0.0
-1.0,-1.0,-1.0,-0.5695071,0.0
1.0,-0.44201678,-1.0,0.6023065,0.0
1.0,-1.0,0.8934612,-1.0,0.0
1.0,-1.0,1.0,1.0,0.0
-0.20748864,-1.0,0.8913828,-1.0,0.0
1.0,1.0,-1.0,1.0,0.0
-0.35761714,-1.0,-1.0,0.6075196,1.0
-1.0,1.0,1.0,1.0,0.0
1.0,1.0,-1.0,-0.23180258,1.0
0.84829944,1.0,1.0,1.0,1.0
1.0,-1.0,-0.32007992,1.0,0.0
-1.0,1.0,1.0,-0.93240035,0.0
1.0,-1.0,-1.0,1.0,0.0
-1.0,1.0,-1.0,1.0,1.0
1.0,1.0,1.0,1.0,0.0
-0.114017725,0.27788216,-1.0,-1.0,0.0
-0.13657215,1.0,-0.9354817,1.0,0.0
1.0,-1.0,1.0,-0.7306855,1.0
1.0,-0.8697166,1.0,1.0,0.0
1.0,1.0,-0.07256499,1.0,0.0
1.0,-1.0,-1.0,1.0,0.0
1.0,-1.0,1.0,1.0,0.0
1.0,-1.0,-1.0,0.63204086,0.0
-1.0,-1.0,-1.0,1.0,0.0
0.39427444,0.52908885,0.42378944,-1.0,0.0
